Date,Company Name,Crypto vs NFT,Rug Pull vs Scam,Amount Stolen
"Jan, 2017",OneCoin,Crypto,Scam,"4,000,000,000"
"Apr, 2021",Africrypt,Crypto,Rug Pull,"3,600,000,000"
"Mar, 2018",GainBitcoin,Crypto,Scam,"3,033,488,150"
"Aug, 2021",BitConnect,Crypto,Scam,"2,400,000,000"
"Jun, 2019",PlusToken,Crypto,Rug Pull,"2,250,000,000"
"Jun, 2020",Wirecard,Crypto,Scam,"2,100,000,000"
"Apr, 2021",Thodex,Crypto,Rug Pull,"2,000,000,000"
"Oct, 2019",WoToken,Crypto,Scam,"1,100,000,000"
"Sep, 2020",Arbistar,Crypto,Scam,"1,000,000,000"
"Dec, 2019",BitClub Network,Crypto,Scam,"722,000,000"
"Apr, 2018",Modern Tech (PinCoin and iFan),Crypto,Rug Pull,"658,000,000"
"Sep, 2020",Forsage,Crypto,Scam,"300,000,000"
"May, 2019",Operation Egypto,Crypto,Scam,"200,000,000"
"Dec, 2018",QuadrigaCX,Crypto,Scam,"190,000,000"
"Jun, 2019",TokenStore,Crypto,Rug Pull,"160,000,000"
"Oct, 2017",Control Finance,Crypto,Scam,"147,000,000"
"Jan, 2019",Dekado Coin,Crypto,Scam,"144,000,000"
"Jan, 2022",Morris Coin,Crypto,Scam,"140,000,000"
"Mar, 2022",Oremus Coin,Crypto,Scam,"124,000,000"
"Jul, 2022",OmegaPro,Crypto,Scam,"106,000,000"
"Oct, 2021",EmpiresX,Crypto,Scam,"100,000,000"
"Oct, 2022",Freeway,Crypto,Rug Pull,"100,000,000"
"Aug, 2021",Finiko,Crypto,Scam,"95,000,000"
"Aug, 2020",Coinbit,Crypto,Scam,"84,000,000"
"May, 2022",Mining Capital Coin (MCC),Crypto,Scam,"62,000,000"
"Oct, 2021",AnubisDAO,Crypto,Rug Pull,"60,000,000"
"Aug, 2018","Shenzhen Puyin Blockchain Group (Puyin Coin, BioLifeChain, and ACChain)",Crypto,Scam,"60,000,000"
"Nov, 2022",DeFiAI,Crypto,Rug Pull,"40,000,000"
"Dec, 2017",Centra,Crypto,Scam,"32,000,000"
"May, 2021",DeFi100,Crypto,Rug Pull,"32,000,000"
"Nov, 2021",Snowdog DAO,Crypto,Rug Pull,"30,000,000"
"Jun, 2021",StableMagnet,Crypto,Rug Pull,"27,000,000"
"May, 2018",Titanium Blockchain Infrastructure Services (TBIS),Crypto,Scam,"21,000,000"
"Jul, 2022",Raccoon Network (Freedom Protocol),Crypto,Scam,"20,000,000"
"Sep, 2020",Yfdexf.Finance,Crypto,Rug Pull,"20,000,000"
"Nov, 2022",FLARE,Crypto,Rug Pull,"18,500,000"
"Jun, 2020",VaultAge Solutions,Crypto,Scam,"16,300,000"
"Sep, 2021",AFK System Finance,Crypto,Rug Pull,"12,000,000"
"Jun, 2018",CryptoKami,Crypto,Rug Pull,"12,000,000"
"Oct, 2021",SaturnBeam Finance,Crypto,Rug Pull,"12,000,000"
"Aug, 2022",SR Private Equity and NBD Eidetic Capital,Crypto,Scam,"12,000,000"
"Jan, 2022",VBit Technologies Corp,Crypto,Scam,"11,000,000"
"Dec, 2020",Compounder Finance,Crypto,Rug Pull,"10,800,000"
"Jan, 2022",Arbix Finance,Crypto,Rug Pull,"10,000,000"
"Nov, 2020",SharkTron,Crypto,Rug Pull,"10,000,000"
"Jan, 2022",Solfire Finance,Crypto,Rug Pull,"10,000,000"
"May, 2022",BreedTech,Crypto,Rug Pull,"9,400,000"
"Nov, 2020","Forcount Trader Systems, Inc.",Crypto,Scam,"8,400,000"
"Aug, 2018",NVO,Crypto,Rug Pull,"8,000,000"
"Dec, 2017",PlexCoin,Crypto,Scam,"8,000,000"
"Jun, 2021",GainSwap,Crypto,Rug Pull,"7,800,000"
"Aug, 2021",Luna Yield,Crypto,Rug Pull,"6,709,834"
"Oct, 2022",3commas,Crypto,Scam,"6,000,000"
"May, 2022",Kronos DAO,Crypto,Rug Pull,"6,000,000"
"Feb, 2019",My Big Coin,Crypto,Scam,"6,000,000"
"Oct, 2018",MapleChange,Crypto,Rug Pull,"5,700,000"
"May, 2022",Bribe Protocol,Crypto,Rug Pull,"5,500,000"
"Mar, 2021",Ether Trade Asia,Crypto,Scam,"5,300,000"
"Apr, 2019",Coin Signals,Crypto,Scam,"5,000,000"
"Jun, 2022",JustCows,Crypto,Rug Pull,"5,000,000"
"May, 2019",RepuX,Crypto,Rug Pull,"4,700,000"
"Jun, 2022",TIGER (ForestTiger.Pro),Crypto,Rug Pull,"4,518,000"
"Aug, 2012",Bitcoin Savings and Trust,Crypto,Scam,"4,500,000"
"Feb, 2018",LoopX,Crypto,Rug Pull,"4,500,000"
"Jul, 2022",TeddyDoge (DRAC Network),Crypto,Rug Pull,"4,451,500"
"Apr, 2022",Terra,Crypto,Scam,"4,310,000"
"Sep, 2020",LV Finance,Crypto,Rug Pull,"4,000,000"
"Apr, 2022",Rich Bulls Club,Crypto,Rug Pull,"3,700,000"
"Aug, 2022",Dragoma,Crypto,Rug Pull,"3,500,000"
"Nov, 2021",Squid Game,Crypto,Rug Pull,"3,380,000"
"May, 2019",JoyToken,Crypto,Rug Pull,"3,300,000"
"Dec, 2021",MetaDAO,Crypto,Rug Pull,"3,200,000"
"Jun, 2018",Block Broker,Crypto,Rug Pull,"3,000,000"
"Jan, 2022",MetaNet,Crypto,Rug Pull,"3,000,000"
"May, 2022",Superlative Apes,Crypto,Rug Pull,"2,900,000"
"Nov, 2018",Pure Bit,Crypto,Rug Pull,"2,800,000"
"Jan, 2018",Benebit,Crypto,Rug Pull,"2,700,000"
"Feb, 2022",BNB42,Crypto,Rug Pull,"2,700,000"
"Nov, 2017",Elektra Coin,Crypto,Rug Pull,"2,500,000"
"Sep, 2020",Emerald Mine,Crypto,Rug Pull,"2,500,000"
"Mar, 2021",TurtleDex,Crypto,Rug Pull,"2,500,000"
"Mar, 2018",Giza,Crypto,Rug Pull,"2,400,000"
"Jul, 2019",Bitmarket,Crypto,Rug Pull,"2,300,000"
"Jun, 2021",WhaleFarm,Crypto,Rug Pull,"2,300,000"
"Jan, 2021",Popcornswap,Crypto,Rug Pull,"2,148,960"
"Aug, 2022",AMO/Day of Rights,Crypto,Rug Pull,"2,066,258"
"Jul, 2020",COSS,Crypto,Rug Pull,"2,000,000"
"Mar, 2018",Dropil,Crypto,Scam,"1,896,657"
"Feb, 2022",Titano Finance,Crypto,Rug Pull,"1,900,000"
"Mar, 2018",DROP,Crypto,Scam,"1,800,000"
"Jun, 2021",GPay Ltd (XtraderFX),Crypto,Scam,"1,800,000"
"Dec, 2021",MetaMask Token,Crypto,Scam,"1,790,000"
"Jun, 2021",Vitae,Crypto,Scam,"1,785,000"
"Jun, 2022",LV Metaverse (LV PLUS),Crypto,Rug Pull,"1,500,000"
"Jun, 2021",PolyButterfly,Crypto,Rug Pull,"1,500,000"
"Nov, 2022",YES,Crypto,Rug Pull,"1,494,652"
"Nov, 2016",Ebitz,Crypto,Scam,"1,450,000"
"Nov, 2016",Opair,Crypto,Scam,"1,450,000"
"Jul, 2021",Helios Cash,Crypto,Rug Pull,"1,446,704"
"May, 2022",Hunter,Crypto,Rug Pull,"1,200,000"
"Oct, 2022",Jump Satoshi,Crypto,Rug Pull,"3,900,000"
"Nov, 2022",LYRA,Crypto,Rug Pull,"1,162,635"
"Oct, 2020",CBDAO,Crypto,Rug Pull,"1,060,000"
"May, 2022",DecentraWorld,Crypto,Rug Pull,"1,000,000"
"Jun, 2021",PolyWhale Finance,Crypto,Rug Pull,"1,000,000"
"Jul, 2019",Soxex,Crypto,Rug Pull,"1,000,000"
"May, 2022",ALG,Crypto,Rug Pull,"948,832"
"Oct, 2020",Amplyfi.money,Crypto,Rug Pull,"852,050"
"Aug, 2022",SudoRare,Crypto,Rug Pull,"852,000"
"Jul, 2022",Angels to Miracles (ATM Official),Crypto,Rug Pull,"850,533"
"Mar, 2018",Miroskii,Crypto,Rug Pull,"830,000"
"Sep, 2022",SAD,Crypto,Rug Pull,"824,386"
"Feb, 2022",Gold Mine Finance,Crypto,Rug Pull,"800,000"
"Dec, 2020",DeTrade,Crypto,Rug Pull,"782,617"
"Jul, 2021",CXCoin,Crypto,Rug Pull,"750,000"
"Apr, 2022",BNBInsane,Crypto,Rug Pull,"740,000"
"Apr, 2022",AtlasNaaS,Crypto,Scam,"715,123"
"Aug, 2022",PokeMonFi,Crypto,Rug Pull,"708,000"
"Apr, 2022",Tribes of Ogun,Crypto,Rug Pull,"696,000"
"Aug, 2022",Galaxy Coin,Crypto,Rug Pull,"668,000"
"Feb, 2022",Baby Musk,Crypto,Rug Pull,"653,300"
"Jun, 2019",Regal Coin,Crypto,Scam,"650,000"
"Nov, 2022",FITE,Crypto,Rug Pull,"622,000"
"Dec, 2021",Metaswap Gas,Crypto,Rug Pull,"602,000"
"Apr, 2022",OP,Crypto,Rug Pull,"601,920"
"Feb, 2022",Ariva Digital,Crypto,Rug Pull,"600,000"
"Aug, 2022",Blur Finance,Crypto,Rug Pull,"600,000"
"Dec, 2022",CroLend,Crypto,Rug Pull,"608,000"
"Apr, 2022",MaxAPY Finance,Crypto,Rug Pull,"570,000"
"Oct, 2022",The Micro Elements (TME),Crypto,Rug Pull,"548,600"
"Jan, 2022",Infinity Token (IT),Crypto,Rug Pull,"532,356"
"Mar, 2022",TTS DAO,Crypto,Rug Pull,"530,085"
"Aug, 2022",HUT,Crypto,Rug Pull,"509,000"
"Mar, 2021",HSO,Crypto,Rug Pull,"483,000"
"Sep, 2022",Arbitrage Token,Crypto,Rug Pull,"472,456"
"Apr, 2022",SEE,Crypto,Rug Pull,"460,326"
"Nov, 2022",MinerSwap,Crypto,Rug Pull,"483,049"
"Jun, 2022",HEGE,Crypto,Rug Pull,"429,000"
"Nov, 2022",Fair Coin,Crypto,Rug Pull,"427,000"
"Dec, 2022",BGE,Crypto,Rug Pull,"426,000"
"Aug, 2022",Saxon James Musk,Crypto,Rug Pull,"421,000"
"Feb, 2022",CryptoBay VIP,Crypto,Rug Pull,"411,000"
"Feb, 2022",WeGrow Coin,Crypto,Rug Pull,"389,880"
"Nov, 2017",Confido,Crypto,Rug Pull,"374,477"
"Oct, 2022",Meta F-DAO,Crypto,Rug Pull,"373,000"
"Jan, 2022",Electrinity,Crypto,Rug Pull,"371,429"
"Jan, 2022",gotEM,Crypto,Rug Pull,"371,429"
"Jan, 2022",HarmonyPad,Crypto,Rug Pull,"371,429"
"Jan, 2022",HbarPad,Crypto,Rug Pull,"371,429"
"Jan, 2022",MetaPlay,Crypto,Rug Pull,"371,429"
"Jan, 2022",MicroPee,Crypto,Rug Pull,"371,428"
